species,percent.cover,mean ,sd
Pomatoschistus minutus,high ,0.0,0.0
Pomatoschistus minutus,low,0.1,0.4
Symphodus melops,high ,2.4,2.6
Symphodus melops,low,0.0,0.0
Spinachia spinachia,high ,0.8,0.7
Spinachia spinachia,low,0.3,0.5
Pleuronectes platessa,high ,0.1,0.4
Pleuronectes platessa,low,2.3,2.1
Crangon crangon,high ,0.6,1.2
Crangon crangon,low,0.0,0.0
Taurulus bubalis,high ,0.6,0.5
Taurulus bubalis,low,0.3,0.5
Callionymus lyra,high ,0.9,0.8
Callionymus lyra,low,0.0,0.0
Gobiusculus flavescens,high ,0.8,1.0
Gobiusculus flavescens,low,0.0,0.0
Clupea harengus,high ,8.0,17.2
Clupea harengus,low,0.4,0.5
Centrolabrus exoletus ,high ,0.1,0.4
Centrolabrus exoletus ,low,0.0,0.0
Labrus bergylta,high ,0.6,0.9
Labrus bergylta,low,0.0,0.0
Pollachius pollachius,high ,7.3,4.8
Pollachius pollachius,low,5.6,5.4
Atherina prebyter,high ,0.6,1.1
Atherina prebyter,low,1.3,1.8
Syngnathus acus,high ,0.4,0.5
Syngnathus acus,low,0.0,0.0
Ciliata mustela,high ,0.1,0.4
Ciliata mustela,low,0.1,0.4
Gadus morhua,high ,1.1,1.2
Gadus morhua,low,1.3,1.8
Scyliorhinus canicula,high ,0.1,0.4
Scyliorhinus canicula,low,0.0,0.0
Entelurus aequoreus,high ,0.3,0.5
Entelurus aequoreus,low,0.0,0.0